01-06-2023 10:38:17.817 [restartedMain] INFO  c.t.studentsmanagement.Application.logStarting - Starting Application using Java 19.0.2 with PID 14736 (C:\Users\ADMIN\Desktop\TKPM\sources\StudentsManagement\target\classes started by ADMIN in C:\Users\ADMIN\Desktop\TKPM\sources\StudentsManagement)
01-06-2023 10:38:17.822 [restartedMain] INFO  c.t.studentsmanagement.Application.logStartupProfileInfo - The following 1 profile is active: "prod"
01-06-2023 10:38:18.312 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
01-06-2023 10:38:18.312 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
01-06-2023 10:38:19.445 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
01-06-2023 10:38:19.567 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 106 ms. Found 4 JPA repository interfaces.
01-06-2023 10:38:20.705 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
01-06-2023 10:38:20.722 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-8080"]
01-06-2023 10:38:20.724 [restartedMain] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
01-06-2023 10:38:20.724 [restartedMain] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.8]
01-06-2023 10:38:20.824 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
01-06-2023 10:38:20.825 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 2511 ms
01-06-2023 10:38:21.091 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
01-06-2023 10:38:21.204 [restartedMain] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.1.7.Final
01-06-2023 10:38:21.694 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
01-06-2023 10:38:22.370 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5bb42f1a
01-06-2023 10:38:22.373 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
01-06-2023 10:38:22.467 [restartedMain] INFO  SQL dialect.logSelectedDialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
